,Body,,
,,,
1,"Dear , 

We would like to understand your payment experience for your recent purchase on Flipkart so that we can ensure a seamless experience for you in the future.

Please fill in the survey form here.

In case you are not comfortable answering any question, you may choose to skip it and move to the next one.

Thanks, 
Flipkart Team ",,
2,"Hi rudra160604,

You’re now part of the world’s largest data science community. Welcome, we’re glad you’re here!

Whether you’re new to machine learning or a renowned expert, we want to support you with powerful tools and resources to help you grow as a data scientist.

So, where’s the best place to start?

We highly recommend trying out our popular Titanic competition. You’ll be challenged to predict which passengers survived the infamous 1912 shipwreck.",,
3,"Respected Sir/Madam,



We are pleased to share that  IEI  MPSC Bhopal is organising a Webinar On ""Human and Organisational Success in the Electric Power Industry – A Paradigm of Significant and Fundamental Change""  On 29th October 2023 From 10.00 AM to 11.00 AM by Speaker  Dr. Ganesh  Narine,  Senior Manager,  System Operation Division  Hydro One, Toronto, Canada.



All are requested to join through Google Meet online Platform Join us on:",,
4,"John here,

Would you be interested in trying Winston AI again?

We've improved a lot since you last tried it:

-GPT-4 compatible.

-Scan large documents for virtually unlimited quantities of words (our most in demand update).
-Improved accuracy in AI detection abilities.

-Additional AI detection in more languages including French(currently available), and Spanish
-Trained on more Large language models (LLMs).
-300% faster customer support (4 new team members)



If you're open to it, I'd like to hook you up with 40% off any subscription(monthly or annual) for up to 1 year. Simply follow this link and use the following code at checkout: newfeatures40",,
5,"Sir, 
My name is XYZ, I am currently facing issue related to wifi connecting to my mobile phone. It has been a hindrance in my daily work. 
I hope my issues are solved as soon as possible. ",,
6,"Respected Sir, 

My friend ABC was unable to get an allotment for a hostel room due to her payment receipt issues. She had tried many times to contact you regarding the same but failed to grab your attention. With the hostel onboarding starting from 4th of August, it would be of utmost importance if you can allot her a room in the next few days. 

I Sir request you to please consider her request and help her with the situation as soon as possible. 

Thanking you
Regards",,
7,"Hey ABC,

Welcome to Sketchfab! You're joining an active community of millions of members who are passionate about 3D, VR, and AR. My co-founders and I set out to build a platform that is fun and easy to use and allows 3D creators to establish a home for their 3D content on the web. I'm excited to have you on-board & I can’t wait to see what you'll share!

Alban Denoyel, Co-Founder & CEO",,
8,"Dear Proctor ,

I am writing to request a leave of absence from work. The date my son will be away for is 05/2/23. He will be leaving around at 6 AM. For Summer Vacation

The reason for my son's leave is travelling to hometown of Thane (Maharashtra) . I also request you to accept the leave request as soon as possible.

Thank you for considering my request. I look forward to discussing this further with you.

Sincerely,
ABC",,
9,"Dear Students,
Greetings!

We are delighted to present the First Annual University Magazine 2022-23 crafted by the Insight Club. This magazine is a testament to the outstanding accomplishments of VIT Bhopal University. 
We encourage you to delve into this magazine, taking pride in being an integral part of a dynamic academic community that continually strives for excellence.
 
The digital version of the magazine can be accessed through the link provided in the trailing mail.",,
10,"Dear Students,
Greetings!
All the students staying in Girls hostel Block 1 & Block 2(A & B wing) are requested to follow the guidelines given below.
The students are strictly advised to avoid unnecessary entry between Block 1 & Block 2 (A & B wing) stating any reasons. violating the same will be treated seriously. 
All the students are requested to enter into their respective blocks by 6.15 PM latest daily and the students having classes are allowed to enter till 7.40 PM upon showing their VTOP timetable to the supervisors at the hostel office. First time late comers should surrender their  ID card to the supervisor & record the reason for late coming in the late-night register. Repeated late comings will be brought to the notice of the parents & further course of disciplinary action will be taken.
The students residing in Block 2 can utilize the Gym facility at Block 1 on a temporary basis as per the given time slot and provide their ID card at the reception of Block 1 for entry purpose.
BLOCK 2 (A & B Wing) students - 06:30 A.M to 09:30 A.M



BLOCK1 students – 06:00 P.M to 09:00 P.M

The entry to other areas of Block 1 by the Block 2 students other than Gym area is strictly prohibited. If violating the same, utilizing the gym facility will be cancelled.
The above said guidelines are given considering your safety and security only. Kindly cooperate for the same.
Thank you in advance.",,
